Song,Artist,Song Lenght (ms),Popularity,Release date,Song Id,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Speechiness,Tempo,Key,Loudness,Mode,Time Signature,Valence
Morado,J Balvin,200666,66,2020-01-09,3mQ6SLdxxaL52Yte7KF2Ks,0.137,0.881,0.696,0.696,0.696,0.0797,97.002,11,-3.838,0,4,0.781
Vete,Bad Bunny,192024,77,2020-02-29,2n7ohqg1s68ToAHh4u9mcW,0.0363,0.886,0.672,0.672,0.672,0.188,91.976,1,-4.394,1,4,0.526
Azul,J Balvin,205933,74,2020-03-19,2lCkncy6bIB0LTMT7kvrD1,0.0816,0.843,0.836,0.836,0.836,0.0695,94.018,11,-2.474,0,4,0.65
Ignorantes,Bad Bunny,210606,74,2020-02-29,38RIEav39FGi86jppxO0du,0.267,0.85,0.536,0.536,0.536,0.0599,96.029,1,-5.161,1,4,0.505
Don't Start Now,Dua Lipa,183290,85,2020-03-27,3PfIrDoz19wz7qK7tYeu62,0.0123,0.793,0.793,0.793,0.793,0.083,123.95,11,-4.521,0,4,0.679
La Jeepeta - Remix,Nio Garcia,345240,66,2020-07-24,6bvfJf4KjonPMuPfGfy3S2,0.297,0.814,0.714,0.714,0.714,0.207,176.013,4,-4.65,0,4,0.789
Se Me Olvidó,Christian Nodal,159533,70,2020-05-29,7paFC3FEu1WtPVP4Do6VZN,0.368,0.65,0.558,0.558,0.558,0.0309,141.82,0,-3.082,1,4,0.725
Jangueo,Alex Rose,259600,70,2019-11-08,1bRpSCFv6P2OUhciByeRYR,0.253,0.861,0.678,0.678,0.678,0.0536,103.994,8,-4.157,0,4,0.723
La Difícil,Bad Bunny,163084,79,2020-02-29,6NfrH0ANGmgBXyxgV2PeXt,0.0861,0.685,0.848,0.848,0.848,0.0858,179.87,8,-4.561,0,4,0.761
Hola - Remix,Dalex,249520,75,2019-11-01,5stPVcRqb4qixbafP9e8lt,0.471,0.655,0.672,0.672,0.672,0.311,181.877,0,-5.98,0,4,0.343
Relación,Sech,184254,73,2020-05-21,3ZG8N7aWw2meb6UrI5ZmnZ,0.125,0.805,0.562,0.562,0.562,0.105,172.094,7,-3.117,0,4,0.767
Favorito,Camilo,209765,67,2020-04-17,0jT8Nl0shPS8115is0wD2Q,0.237,0.606,0.853,0.853,0.853,0.0545,178.043,9,-2.975,1,4,0.822
La Santa,Bad Bunny,206420,84,2020-02-29,69vlMrzHwATKzupwNcUPyK,0.0326,0.744,0.868,0.868,0.868,0.047,93.037,1,-4.524,1,4,0.586
RITMO (Bad Boys For Life),Black Eyed Peas,214854,68,2020-11-02,5NyS3oxTlos3Agl2YtZwrC,0.0295,0.732,0.716,0.716,0.716,0.0561,105.093,10,-6.968,0,4,0.666
Yo Ya No Vuelvo Contigo - En Vivo,Lenin Ramírez,240456,62,2020-05-01,4dKY6JFNvj2yWzENIL1P6s,0.784,0.644,0.35,0.35,0.35,0.0783,118.206,4,-5.924,0,1,0.541
Diosa,Myke Towers,214013,76,2020-01-24,3JHpk0DOTOzyh0777JFAky,0.398,0.801,0.745,0.745,0.745,0.063,104.965,6,-3.733,0,4,0.245
Tattoo,Rauw Alejandro,202886,69,2020-02-13,7na7Bk98usp84FaOJFPv3d,0.0217,0.755,0.617,0.617,0.617,0.182,193.896,9,-5.144,1,4,0.745
Elegí (feat. Dímelo Flow),Rauw Alejandro,197721,74,2020-03-26,50ZC4PM7hywH27RcCfViau,0.237,0.824,0.631,0.631,0.631,0.0809,171.965,0,-2.791,1,4,0.678
Blanco,J Balvin,145800,60,2019-11-15,2rc7BkzO8qepMFAxHtOrXc,0.0253,0.87,0.706,0.706,0.706,0.126,100.013,9,-5.395,0,4,0.593
A Tu Merced,Bad Bunny,175918,82,2020-02-29,4r9jkMEnArtWGH2rL2FZl0,0.169,0.86,0.791,0.791,0.791,0.0568,92.023,0,-4.784,1,4,0.887
La Curiosidad,Jay Wheeler,219048,84,2020-06-12,4HYDUMY0xSpeBr0AMY9cUz,0.269,0.845,0.677,0.677,0.677,0.136,90.013,11,-4.798,0,4,0.68
Amarillo,J Balvin,157733,70,2020-03-19,6zEgnpM0qYmHLDnh8WPejL,0.013,0.641,0.857,0.857,0.857,0.301,122.728,1,-5.725,0,5,0.961
"Ay, DiOs Mío!",KAROL G,189653,72,2020-07-10,7x4ASXYEKfQBCewcZhK776,0.512,0.718,0.712,0.712,0.712,0.174,180.034,11,-4.366,1,4,0.531
Caramelo,Ozuna,217546,69,2020-06-11,3gD4J3RUHy4OUuZ3qAiaiG,0.0531,0.728,0.806,0.806,0.806,0.0623,168.084,6,-3.766,1,4,0.698
Ride It,Regard,157605,83,2019-07-26,2tnVG71enUj33Ic2nFN6kZ,0.177,0.88,0.751,0.751,0.751,0.0874,117.948,7,-4.258,0,4,0.884
Agua (with J Balvin),Tainy,159665,70,2021-03-05,7CtbxAGq2P0jtYh6SH9DMR,0.167,0.778,0.651,0.651,0.651,0.266,100.094,9,-5.421,0,4,0.569
Sodio,Danna Paola,186946,65,2020-02-07,7jYZU1CIruZU3puB5tiYiW,0.0659,0.651,0.761,0.761,0.761,0.063,89.024,9,-4.805,0,4,0.433
Break My Heart,Dua Lipa,221820,80,2020-03-27,017PF4Q3l4DBUiWoXk4OWT,0.167,0.73,0.729,0.729,0.729,0.0884,113.011,4,-3.434,0,4,0.467
La Mitad,Camilo,177791,78,2020-04-17,63Zaf8Rci6eOUPqDQ4fUFx,0.73,0.724,0.443,0.443,0.443,0.0329,97.194,7,-3.743,1,4,0.763
Say So,Doja Cat,237893,81,2019-11-07,3Dv1eDb0MEgF93GpLXlucZ,0.264,0.787,0.673,0.673,0.673,0.159,110.962,11,-4.583,0,4,0.779
UN DIA (ONE DAY) (Feat. Tainy),J Balvin,232253,75,2020-07-24,0EhpEsp4L0oRGM0vmeaN5e,0.00536,0.571,0.693,0.693,0.693,0.0545,168.169,6,-8.234,0,4,0.393
Amor Tumbado,Natanael Cano,221553,79,2019-12-24,5aJ1M43pinROpwaPnO8KRj,0.332,0.535,0.714,0.714,0.714,0.0329,100.059,6,-5.753,0,3,0.458
